room,building,seats,type,status,free_from,free_until,bookings_that_day
ETZ F 091,ETZ,32,Seminars / Courses,BUSY,12:00,20:00,00:00-08:00 closed/not bookable; 10:00-12:00 Elektrotechnik I; 14:00-16:00 Mathematik I; 20:00-23:59 closed/not bookable
ETZ G 091,ETZ,32,Seminars / Courses,BUSY,12:00,20:00,00:00-08:00 closed/not bookable; 08:00-10:00 Informatik I; 10:00-12:00 Elektrotechnik I; 14:00-16:00 Funktionentheorie (Complex Analysis); 20:00-23:59 closed/not bookable
ETZ H 091,ETZ,32,Seminars / Courses,BUSY,12:00,20:00,00:00-08:00 closed/not bookable; 08:00-10:00 Informatik I; 10:00-12:00 Elektrotechnik I; 14:00-16:00 Technische Mechanik; 20:00-23:59 closed/not bookable
ETZ J 091,ETZ,32,Seminars / Courses,BUSY,12:00,16:00,00:00-08:00 closed/not bookable; 08:00-10:00 Informatik I; 10:00-12:00 Space Communications; 14:00-16:00 Mathematik III; 16:00-18:00 Mathematik III; 20:00-23:59 closed/not bookable
ETZ K 091,ETZ,32,Seminars / Courses,BUSY,12:00,16:00,00:00-08:00 closed/not bookable; 10:00-12:00 Ethics in Technology; 14:00-16:00 Optical Communication Fundamentals; 16:00-17:00 Optical Communication Fundamentals; 17:00-18:00 Optical Communication Fundamentals; 20:00-23:59 closed/not bookable
GLC E 024,GLC,40,Seminars / Courses,BUSY,12:00,20:00,00:00-08:00 closed/not bookable; 08:00-10:00 Informatik I; 10:00-12:00 Elektrotechnik I; 14:00-16:00 Technische Mechanik; 20:00-23:59 closed/not bookable
GLC E 029.1,GLC,40,Seminars / Courses,BUSY,12:00,20:00,00:00-08:00 closed/not bookable; 10:00-12:00 Elektrotechnik I; 14:00-16:00 Technische Mechanik; 20:00-23:59 closed/not bookable
GLC E 029.2,GLC,40,Seminars / Courses,BUSY,08:00,20:00,00:00-08:00 closed/not bookable; 14:00-16:00 Technische Mechanik; 20:00-23:59 closed/not bookable
GLC E 034.1,GLC,40,Seminars / Courses,BUSY,08:00,16:00,"00:00-08:00 closed/not bookable; 14:00-16:00 Technische Mechanik; 16:00-19:00 P&S: Python for Engineers - Get Productive in the Classroom, in the Lab and at Home; 20:00-23:59 closed/not bookable"
GLC E 034.2,GLC,40,Seminars / Courses,BUSY,08:00,16:00,"00:00-08:00 closed/not bookable; 14:00-16:00 Technische Mechanik; 16:00-19:00 P&S: Python for Engineers - Get Productive in the Classroom, in the Lab and at Home; 20:00-23:59 closed/not bookable"
GLC E 038.2,GLC,18,Meeting room,BUSY,13:00,20:00,00:00-08:00 closed/not bookable; 10:00-13:00 Single Molecule Biosensors; 14:00-16:00 Furstenberg's Correspondence Principle; 20:00-23:59 closed/not bookable
HG D 001.1,HG,158,Lecture hall,BUSY,13:00,15:00,00:00-08:00 closed/not bookable; 10:00-12:00 Optimization for Data Science; 12:00-13:00 Partial Differential Equations; 13:00-15:00 Non-Life Insurance: Mathematics and Statistics; 15:00-16:00 Non-Life Insurance: Mathematics and Statistics; 16:00-17:00 Materials and Mechanics in Medicine; 18:00-20:00 Analysis III/Analysis IV - Exam Review ; 22:00-23:59 closed/not bookable
HG D 001.2,HG,158,Lecture hall,BUSY,14:00,16:00,00:00-08:00 closed/not bookable; 08:00-10:00 Bewegungsapparat; 10:00-12:00 Lebensmittel-Mikrobiologie I; 13:00-14:00 Probabilistic Methods in Combinatorics; 14:00-16:00 Optimization for Data Science; 16:00-18:00 Case Studies Seminar; 22:00-23:59 closed/not bookable
HG D 003.1,HG,28,Seminars / Courses,BUSY,12:00,17:00,00:00-08:00 closed/not bookable; 08:00-10:00 Informatik I; 10:00-12:00 Elektrotechnik I; 14:00-16:00 Technische Mechanik; 17:00-19:00 Italiano B2-C1: Strutture della lingua; 22:00-23:59 closed/not bookable
HG D 003.2,HG,90,Lecture hall,BUSY,14:00,16:00,00:00-08:00 closed/not bookable; 10:00-12:00 Numerical Methods for Elliptic and Parabolic Partial Differential Equations; 12:00-14:00 Paraplegie und Sport; 14:00-16:00 Technische Mechanik; 16:00-18:00 Formal Foundations of Programming Languages; 22:00-23:59 closed/not bookable
HG D 003.3,HG,28,Seminars / Courses,BUSY,12:00,22:00,00:00-08:00 closed/not bookable; 08:00-10:00 Informatik I; 10:00-12:00 Elektrotechnik I; 14:00-16:00 Population Ageing and Pension Economics; 22:00-23:59 closed/not bookable
HG D 005.1,HG,28,Seminars / Courses,BUSY,14:00,22:00,00:00-08:00 closed/not bookable; 10:00-12:00 Elektrotechnik I; 12:00-14:00 Physik I; 14:00-16:00 Mathematik I; 22:00-23:59 closed/not bookable
HG D 005.2,HG,94,Lecture hall,BUSY,14:00,16:00,00:00-08:00 closed/not bookable; 10:00-12:00 Mathematical Finance; 12:00-14:00 Foundations of Data Science; 14:00-16:00 Mathematik I; 16:00-17:00 Materials and Mechanics in Medicine; 22:00-23:59 closed/not bookable
HG D 005.3,HG,28,Seminars / Courses,BUSY,14:00,22:00,00:00-08:00 closed/not bookable; 09:00-12:00 Advanced Space Propulsion System Operations and Equipment Design; 12:00-14:00 Physik I; 14:00-16:00 Mathematik I; 22:00-23:59 closed/not bookable
HG D 007.1,HG,158,Lecture hall,BUSY,14:00,16:00,00:00-08:00 closed/not bookable; 10:00-12:00 Introduction to Geometric Measure Theory; 12:00-14:00 Analysis III; 14:00-16:00 Analysis III; 16:00-18:00 Analysis I: eine Variable; 18:00-21:00 IT-Compicampus-Kurse ; 22:00-23:59 closed/not bookable
HG D 007.2,HG,158,Lecture hall,BUSY,14:00,16:00,00:00-08:00 closed/not bookable; 10:00-12:00 Informatik; 12:00-14:00 Analysis III; 14:00-16:00 Psychologie; 16:00-18:00 Nonlinear Dynamics and Chaos I; 18:00-21:45 Vortrag; 22:00-23:59 closed/not bookable
HG D 016.2,HG,80,Lecture hall,BUSY,08:00,16:00,00:00-08:00 closed/not bookable; 14:00-16:00 Biochemie und Molekulare Biologie; 16:00-18:00 Case Studies Seminar; 22:00-23:59 closed/not bookable
HG E 001.1,HG,172,Lecture hall,BUSY,14:00,16:00,00:00-08:00 closed/not bookable; 10:00-12:00 Mathematical Foundations for Finance; 12:00-14:00 Lecture Series: Space Research and Exploration; 14:00-16:00 Mass Transfer; 16:00-18:00 Analysis I: eine Variable; 22:00-23:59 closed/not bookable
HG E 001.2,HG,172,Lecture hall,BUSY,14:00,22:00,00:00-08:00 closed/not bookable; 08:00-10:00 Differential Geometry I; 10:00-12:00 Network Security; 13:00-14:00 Computer Graphics; 14:00-16:00 Sportpsychologie; 22:00-23:59 closed/not bookable
HG E 003,HG,243,Lecture hall,BUSY,12:00,16:00,00:00-08:00 closed/not bookable; 08:00-10:00 Fundamentals of Mathematical Statistics; 10:00-12:00 Einführung in die Mikroökonomie; 14:00-16:00 Umweltsysteme II; 16:00-22:00 HS 2026 - Sonstige Veranstaltungen; 16:00-20:00 Case Studies: Energy Systems and Technology (Part 1); 22:00-23:59 closed/not bookable
HG E 004,HG,,Exhibition space,BUSY,08:00,22:00,08:00-21:45 Ausstellung AI to Eye; 00:00-08:00 closed/not bookable; 22:00-23:59 closed/not bookable
HG E 005,HG,255,Lecture hall,BUSY,12:00,16:00,00:00-08:00 closed/not bookable; 08:00-10:00 Theoretische Informatik; 10:00-12:00 Atmosphäre; 14:00-16:00 Mechanik I; 16:00-21:45 HS 2026 - Sonstige Veranstaltungen; 18:00-20:00 Kulturkickoff; 22:00-23:59 closed/not bookable
HG E 007,HG,346,Lecture hall,BUSY,13:00,16:00,00:00-08:00 closed/not bookable; 08:00-10:00 Theoretische Informatik; 10:00-12:00 Systems Programming and Computer Architecture; 12:00-13:00 Fundamentals of Mathematical Statistics; 14:00-16:00 Big Data; 16:00-21:45 HS 2026 - Sonstige Veranstaltungen; 16:00-19:00 AMIV kontakt Job Fair Panel Discussion; 22:00-23:59 closed/not bookable
HG E 021,HG,46,Seminars / Courses,BUSY,14:00,16:00,00:00-08:00 closed/not bookable; 08:00-10:00 Informatik I; 10:00-12:00 Elektrotechnik I; 12:00-14:00 Physik I; 14:00-16:00 Diskrete Mathematik; 16:00-18:00 Informatik; 22:00-23:59 closed/not bookable
